Gemiddelde energietarieven voor consumenten;;;;
;;;;
;;;;
Onderwerp;Aardgas|Variabel leveringstarief;Aardgas|Variabel leveringstarief;Elektriciteit|Variabel leveringstarief;Elektriciteit|Variabel leveringstarief
Btw;Inclusief btw;Exclusief btw;Inclusief btw;Exclusief btw
Perioden;Euro/m3;Euro/m3;Euro/kWh;Euro/kWh
2018 januari;0,3182;0,263;0,0671;0,0554
2018 februari;0,318;0,2628;0,067;0,0554
2018 maart;0,3179;0,2627;0,0673;0,0556
2018 april;0,3127;0,2584;0,0667;0,0551
2018 mei;0,3145;0,2599;0,0676;0,0559
2018 juni;0,3202;0,2646;0,0691;0,0571
2018 juli;0,3367;0,2783;0,0722;0,0597
2018 augustus;0,3387;0,2799;0,073;0,0603
2018 september;0,3418;0,2825;0,0746;0,0616
2018 oktober;0,3479;0,2875;0,0766;0,0633
2018 november;0,3658;0,3023;0,081;0,0669
2018 december;0,3627;0,2998;0,0802;0,0663
2019 januari;0,3827;0,3163;0,0865;0,0715
2019 februari;0,3759;0,3106;0,0857;0,0708
2019 maart;0,3671;0,3034;0,0841;0,0695
2019 april;0,363;0,3;0,082;0,0678
2019 mei;0,357;0,295;0,0811;0,067
2019 juni;0,3588;0,2965;0,0815;0,0674
2019 juli;0,3429;0,2834;0,0785;0,0649
2019 augustus;0,3343;0,2763;0,0768;0,0635
2019 september;0,3324;0,2747;0,0772;0,0638
2019 oktober;0,3297;0,2724;0,0769;0,0636
2019 november;0,332;0,2744;0,0773;0,0639
2019 december;0,3301;0,2728;0,0765;0,0633
2020 januari;0,3227;0,2667;0,0768;0,0635
2020 februari;0,3169;0,2619;0,0755;0,0624
2020 maart;0,306;0,2529;0,0733;0,0605
2020 april;0,2942;0,2432;0,0707;0,0584
2020 mei;0,2888;0,2387;0,069;0,0571
2020 juni;0,2843;0,2349;0,0682;0,0564
2020 juli;0,2616;0,2162;0,0675;0,0558
2020 augustus;0,263;0,2174;0,0685;0,0566
2020 september;0,2634;0,2177;0,0691;0,0571
2020 oktober;0,2649;0,2189;0,0692;0,0572
2020 november;0,2696;0,2228;0,0701;0,058
2020 december;0,272;0,2248;0,07;0,0578
2021 januari;0,266;0,2198;0,0697;0,0576
2021 februari;0,2758;0,228;0,0735;0,0608
2021 maart;0,2842;0,2349;0,0753;0,0622
2021 april;0,289;0,2389;0,0768;0,0634
2021 mei;0,2886;0,2385;0,0779;0,0643
2021 juni;0,3015;0,2492;0,0812;0,0671
2021 juli;0,3429;0,2834;0,0928;0,0767
2021 augustus;0,3564;0,2945;0,0942;0,0779
2021 september;0,4054;0,3351;0,1064;0,0879
2021 oktober;0,5278;0,4362;0,127;0,1049
2021 november;0,7479;0,6181;0,1755;0,145
2021 december;0,894;0,7388;0,2188;0,1809
2022 januari;1,1956;0,9881;0,3169;0,2619
2022 februari;1,1247;0,9295;0,2966;0,2451
2022 maart;1,8451;1,5248;0,4814;0,3978
2022 april;1,6844;1,392;0,4363;0,3606
2022 mei;1,422;1,1752;0,3613;0,2986
2022 juni;1,2181;1,0067;0,3342;0,2762
2022 juli;1,5908;1,4595;0,4187;0,3842
2022 augustus;2,1147;1,9401;0,5028;0,4613
2022 september*;2,7706;2,5418;0,6439;0,5907
Bron: CBS;;;;
