Year;monthNumber;month;Average_TariffUsage_euro_per_kWh
2017;1;January;0,061440266
2017;2;February;0,052105409
2017;3;March;0,041778792
2017;4;April;0,042792188
2017;5;May;0,04242517
2017;6;June;0,040214938
2017;7;July;0,041772827
2017;8;August;0,03998915
2017;9;September;0,046893768
2017;10;October;0,048246241
2017;11;November;0,057191709
2017;12;December;0,056240393
2018;1;January;0,046941072
2018;2;February;0,053914791
2018;3;March;0,062702884
2018;4;April;0,048089316
2018;5;May;0,056929394
2018;6;June;0,062161364
2018;7;July;0,064481551
2018;8;August;0,070173348
2018;9;September;0,076614024
2018;10;October;0,072527952
2018;11;November;0,075362548
2018;12;December;0,07215365
2019;1;January;0,070583984
2019;2;February;0,056697071
2019;3;March;0,049034786
2019;4;April;0,049397796
2019;5;May;0,048644927
2019;6;June;0,043853274
2019;7;July;0,047900956
2019;8;August;0,045303978
2019;9;September;0,044246742
2019;10;October;0,045910161
2019;11;November;0,051679016
2019;12;December;0,045247511
2020;1;January;0,044894171
2020;2;February;0,035764992
2020;3;March;0,0299354
2020;4;April;0,023001781
2020;5;May;0,021354597
2020;6;June;0,031734132
2020;7;July;0,035513451
2020;8;August;0,041169388
2020;9;September;0,051573208
2020;10;October;0,044907014
2020;11;November;0,049662181
2020;12;December;0,0583899
2021;1;January;0,064897358
2021;2;February;0,059571667
2021;3;March;0,059139914
2021;4;April;0,0651283
2021;5;May;0,06792213
2021;6;June;0,092514953
2021;7;July;0,099927053
2021;8;August;0,104809224
2021;9;September;0,165081392
2021;10;October;0,201807363
2021;11;November;0,225357005
2021;12;December;0,287752637
2022;1;January;0,228811764
2022;2;February;0,203725179
2022;3;March;0,316026139
2022;4;April;0,236193344
2022;5;May;0,219455846
2022;6;June;0,25472523
2022;7;July;0,334198512
2022;8;August;0,487292235
2022;9;September;0,372648246
