datum;stroom_in_kWh;gas_in_m3
01-01-2023;11,321629;7,17361783
02-01-2023;11,151776;7,29365989
03-01-2023;10,814767;7,50814813
04-01-2023;10,933145;7,46678924
05-01-2023;10,867808;7,40948305
06-01-2023;10,874362;7,12583471
07-01-2023;11,547017;7,06297627
08-01-2023;11,609251;6,90513601
09-01-2023;10,888195;6,93128915
10-01-2023;10,611738;6,9051776
11-01-2023;10,735336;6,94681715
12-01-2023;10,606315;6,92379916
13-01-2023;10,791567;6,69227866
14-01-2023;11,522976;6,74976235
15-01-2023;11,617777;6,72370085
16-01-2023;10,779735;6,90239464
17-01-2023;10,637142;6,96068977
18-01-2023;10,592714;7,08851374
19-01-2023;10,389801;7,00058675
20-01-2023;10,798875;6,98597455
21-01-2023;11,48632;7,12991528
22-01-2023;11,563054;7,19546986
23-01-2023;10,815985;7,43678302
24-01-2023;10,70622;7,35814823
25-01-2023;10,710802;7,49728597
26-01-2023;10,4052;7,56062596
27-01-2023;10,616436;7,31163871
28-01-2023;11,463526;7,23298964
29-01-2023;11,448301;7,10172329
30-01-2023;10,702218;7,19504536
31-01-2023;10,489358;7,37483185
01-02-2023;10,519083;7,39434818
02-02-2023;10,186772;7,16656154
03-02-2023;10,316489;6,79139149
04-02-2023;11,261048;6,76650941
05-02-2023;11,521497;6,53328173
06-02-2023;10,646596;6,69376133
07-02-2023;10,330003;6,97538503
08-02-2023;10,29848;7,14112236
09-02-2023;10,120275;7,22550605
10-02-2023;10,289374;7,18161464
11-02-2023;11,059556;6,99223027
12-02-2023;11,251913;6,8513672
13-02-2023;10,304251;7,05662366
14-02-2023;9,688175;7,02768284
15-02-2023;9,761052;6,75782404
16-02-2023;9,708185;6,56174147
17-02-2023;9,723468;6,48236336
18-02-2023;10,125843;6,51979424
19-02-2023;10,088172;6,62183914
20-02-2023;9,582209;6,62736338
21-02-2023;8,822438;6,68609065
22-02-2023;8,864227;6,69458268
23-02-2023;9,131549;6,53537825
24-02-2023;9,083699;6,25175401
25-02-2023;9,615443;6,08763773
26-02-2023;9,930615;5,98658881
27-02-2023;9,216896;6,18420619
28-02-2023;8,564686;6,21955242
01-03-2023;8,708265;6,33414223
02-03-2023;9,024655;6,3920358
03-03-2023;9,018188;6,38074567
04-03-2023;9,7324;6,1333713
05-03-2023;10,161049;5,81858212
06-03-2023;9,085961;5,87373527
07-03-2023;8,573009;5,63116308
08-03-2023;8,853497;5,49814379
09-03-2023;8,859065;5,41436083
10-03-2023;8,870694;5,35144112
11-03-2023;9,608599;5,4200091
12-03-2023;9,751627;5,14192746
13-03-2023;8,779924;5,34588974
14-03-2023;8,480499;5,30233717
15-03-2023;8,699217;5,05722134
16-03-2023;8,663344;4,85703858
17-03-2023;8,598471;4,86955706
18-03-2023;9,250565;4,9993197
19-03-2023;9,211821;4,96335972
20-03-2023;8,555725;5,06943626
21-03-2023;8,33257;5,06784216
22-03-2023;8,130034;4,96086198
23-03-2023;8,214511;4,84258328
24-03-2023;8,031173;4,53696997
25-03-2023;8,647481;4,37508967
26-03-2023;8,287736;4,55934398
27-03-2023;7,73401;4,49977616
28-03-2023;7,08122;4,55496799
29-03-2023;7,418751;4,19289924
30-03-2023;7,404657;3,69225967
31-03-2023;7,592983;3,47473025
01-04-2023;8,079777;3,37406227
02-04-2023;8,137023;3,13616214
03-04-2023;7,342858;3,42950266
04-04-2023;7,053496;3,8634897
05-04-2023;7,270503;4,17129634
06-04-2023;7,100186;4,0048733
07-04-2023;7,303998;3,5640263
08-04-2023;8,019138;3,47990668
09-04-2023;7,758457;3,10103989
10-04-2023;7,375831;3,12204805
11-04-2023;6,963016;3,29015648
12-04-2023;6,94666;3,43146997
13-04-2023;6,647699;3,68846788
14-04-2023;6,722635;3,3293311
15-04-2023;7,416199;3,06104812
16-04-2023;7,035284;2,81264011
17-04-2023;6,676003;2,9624469
18-04-2023;6,303382;2,93833466
19-04-2023;6,223864;2,89785233
20-04-2023;6,255561;2,51750236
21-04-2023;6,188339;2,172746
22-04-2023;6,830834;2,00642815
23-04-2023;6,592309;1,86792547
24-04-2023;6,253589;1,83656459
25-04-2023;5,979423;1,86647537
26-04-2023;5,981221;1,95518306
27-04-2023;6,702422;1,91831654
28-04-2023;6,401808;2,09209433
29-04-2023;6,810389;2,0167141
30-04-2023;6,827731;1,81858578
01-05-2023;6,166821;1,60206209
02-05-2023;6,178508;1,61957664
03-05-2023;6,143911;1,60384111
04-05-2023;6,187933;1,69101241
05-05-2023;6,03635;1,6423665
06-05-2023;6,55603;1,57653253
07-05-2023;6,468827;1,32181553
08-05-2023;5,9044;1,35462656
09-05-2023;5,740086;1,15338499
10-05-2023;5,777525;1,12296589
11-05-2023;5,736345;1,18614508
12-05-2023;5,710448;1,26037852
13-05-2023;6,294566;1,12140696
14-05-2023;6,310052;1,21073387
15-05-2023;5,791474;1,2450091
16-05-2023;5,659698;1,1967596
